Question,A,B,C,D,Answer
Which one is the smallest ocean in the world? , Indian ,Pacific, Atlantic, Arctic, D
Dead sea is located between which two countries?, Jordan and Sudan, Jordan and Israel, Turkey and UAE, UAE and Egypt, B
In which oceanBermuda Triangle region is located? , Atlantic, Indian, Pacific, Arctic, A
In which country statue of liberty is located?, Spain, Portugal, Italy ,USA, D
In which country white elephant is found?, India ,Sri Lanka, Thailand, Malaysia, C
The world longest straight road is located in?, USA, Australia, Saudi Arabia, China, C
Which one is the biggest island in the world?, Borneo, Finland, Sumatra ,Greenland, D
Which one is the largest tropical rain forest in the world?, Amazon, Bosawas, Southeast Asian Rain Forest ,Daintree Rain Forest, A
Which river is flowing through the London City  England?, Severn, Thames ,Volga ,None of the avobe, B
Which one is the captial of Spain? ,Barcelona, Madrid, Seville, Lisbon, B
Which country has the most number of lakes?, Canada ,USA, Finland, Brazil, A
Emu bird is found in the country? ,New Zealand, Japan, Australia, Thailand, C
Which one is the capital city of of Canada? ,Toronto ,Montreal, Ottawa ,Vancouver, C
Which day is celebrated as world environment day? ,13th August, 26th January, 30th September, 5th June, D
First American President to win a Nobel Prize?, Theodore Roosevel, Woodrow Wilson ,Barack Obama, Jimmy Carter, A
Sofia is the Capital City of which country?, Hungary, Poland ,Romania, Bulgaria, D
Nobel Peace Prize is awarded in the city?, Bern, Lisbon ,Oslo, Berlin, C
Which country gifted the Statue of Libertya to USA in 1886? ,France, Canada, Brazil ,England, A
Which country is known as the ˜Land of Rising Suna? ,Japan ,New Zealand, Fiji, China, A
Which country is the heigest producer of wine in the World? ,France ,Italy, Brazil , Protugal, A
Lisbon is the capital of?, Canada, France, Germany ,Portugal, D
Where is the Worlds longest sea bridge?, Japan ,Russia, China, None of the avobe, C
Who was the first man to fly into space?, Yuri Gagarin, Robert Walpole ,Henry Waterloo ,George Bush, A
Which country is the largest producer of coffee in the world?, Vietnam Brazil ,Colombia, Mexico, USA, B
